iter	Logloss
0	0.6747452458
1	0.657354585
2	0.6407487149
3	0.624751716
4	0.6098654624
5	0.5954323073
6	0.5823228025
7	0.5699190048
8	0.5583361803
9	0.5471330088
10	0.536464286
11	0.526800816
12	0.5178821447
13	0.5091313301
14	0.5014123264
15	0.4935318306
16	0.4861686653
17	0.4789729339
18	0.4725089724
19	0.4660832772
20	0.4602188776
21	0.4546396873
22	0.4495507784
23	0.4447532002
24	0.4403624152
25	0.4361334403
26	0.4314067225
27	0.4270858203
28	0.4227444744
29	0.4191814333
30	0.415673983
31	0.4124281935
32	0.4094451502
33	0.4058779035
34	0.4024146294
35	0.399830499
36	0.3974051075
37	0.3946025759
38	0.3923841509
39	0.3901806569
40	0.3876681862
41	0.3852689563
42	0.3829583274
43	0.3810156146
44	0.3789808878
45	0.3770901093
46	0.3752446822
47	0.3733358558
48	0.3717632135
49	0.3704237737
50	0.3690584117
51	0.3677694557
52	0.3663906834
53	0.3651027388
54	0.3633181916
55	0.3620849204
56	0.360666877
57	0.3598649335
58	0.3584971039
59	0.3575146274
60	0.3566866588
61	0.3556223327
62	0.3544951868
63	0.353734064
64	0.3528203663
65	0.3520449169
66	0.3513568449
67	0.3505451263
68	0.3498470479
69	0.3491664292
70	0.3482046221
71	0.3476347214
72	0.3467390851
73	0.3459970872
74	0.345212399
75	0.344342924
76	0.3437403872
77	0.3430695497
78	0.3423078556
79	0.3417497866
80	0.3411739069
81	0.3406192047
82	0.3401472848
83	0.3396839777
84	0.3392350924
85	0.338844961
86	0.3383384813
87	0.3377698427
88	0.3372269085
89	0.3366766705
90	0.3360197015
91	0.3356153249
92	0.3350603101
93	0.334617496
94	0.3342799906
95	0.3339614011
96	0.3335984447
97	0.3333004602
98	0.3327690489
99	0.3323147479
100	0.3318172417
101	0.3314910869
102	0.3309880935
103	0.3305443857
104	0.3301551196
105	0.3298148367
106	0.3294754895
107	0.3291037141
108	0.3287445752
109	0.3284015765
110	0.3279405057
111	0.3276672161
112	0.3274306374
113	0.3271339371
114	0.326760866
115	0.3265412319
116	0.3262782561
117	0.3259876848
118	0.3256851702
119	0.3254262212
120	0.3250778288
121	0.3247718372
122	0.324516638
123	0.3243098513
124	0.3240377372
125	0.3238149155
126	0.3234912087
127	0.3232332519
128	0.3229978225
129	0.3226940632
130	0.3223510248
131	0.3221051236
132	0.321888437
133	0.3217408423
134	0.3214118835
135	0.3212092097
136	0.3210232068
137	0.3208057304
138	0.3205475324
139	0.3202665017
140	0.3200074005
141	0.3197413835
142	0.3195176399
143	0.3192204614
144	0.3190043857
145	0.3187229302
146	0.3184528584
147	0.3182470029
148	0.3180052356
149	0.3177670174
150	0.3175722975
151	0.3174220864
152	0.317220012
153	0.3169821858
154	0.3167693857
155	0.3165428631
156	0.3162645669
